01.07.2021;Cindelyn;Dichy;Dosia;Gothenburg;Luxembourg
23.01.2021;Lorne;Ries;Frendel;Ludhiana;Finland
24.03.2022;Rhoda;Winnick;Dorine;Dammam;Timor-Leste
13.10.2021;Corene;Yuille;Swanhildas;Caracas;Taiwan, Province of China
25.08.2021;Ekaterina;Fancie;Westphal;Sukhumi;Dominican Republic
03.01.2022;Daryl;McGrody;Jarib;Livingstone;Venezuela
29.12.2022;Bobinette;Dosia;Lytton;Santiago de Cuba;Portugal
09.03.2022;Bettine;Shuler;Kimmie;Rotterdam;Austria
29.06.2021;Gertrud;Tyson;Bari;Podgorica;South Africa
07.04.2021;Janenna;Gamaliel;Amadas;Kota Bharu;Ireland
29.01.2022;Yolane;Edison;Gwenore;Novosibirsk;Bahamas
12.07.2022;Tani;Brady;Percy;Detroit;Croatia
04.08.2021;Berget;Amadas;Chauncey;Baltimore;India
06.05.2021;Pierette;Maribeth;Randene;Accra;Nauru
29.09.2021;Yvonne;Amasa;Elephus;San Diego;Marshall Islands
19.03.2022;Ronna;Jorgan;Weide;Concepción;Cambodia
03.08.2022;Candy;Pearse;Pond;Rawalpindi;Monaco
19.10.2021;Odessa;Cosenza;Shaddock;Weno;Finland
29.12.2021;Maud;Natica;Odysseus;Newcastle;Central African Republic
07.08.2022;Nelle;Tamsky;Cecile;Cusco;Solomon Islands
14.09.2021;Addia;Zachary;Anastatius;Maracaibo;Sweden
15.03.2021;Cherrita;Granoff;Louanna;Rockhampton;Sao Tome and Principe
17.09.2021;Phylis;Kare;Horan;Algiers;Jordan
13.11.2022;Letizia;Yorick;Annabella;Oklahoma City;Anguilla
26.08.2021;Ardeen;Grosz;Oscar;Surabaya;Tajikistan
21.12.2021;Ronna;Decato;Lacombe;Graz;Sri Lanka
04.05.2021;Emma;Durante;Obed;Malacca Town;China
11.04.2021;Nyssa;Catie;My;Tamale;Brunei Darussalam
11.06.2022;Constance;Huggins;Roarke;Rome;France
31.03.2021;Sharai;Thilda;Moina;Nuuk;Somalia
15.01.2021;Chrystel;Natica;Sinegold;Detroit;Tuvalu
30.03.2022;Jacenta;Goerke;Iphlgenia;Kolkata;Antigua and Barbuda
12.11.2021;Elsie;Peg;Jeanne;Denver;Saint Vincent and the Grenadines
10.01.2022;Lanna;Bonilla;Schwejda;Perth;Iraq
18.11.2022;Sybille;Bashemeth;Lynn;Bulawayo;Palau
27.02.2021;Bertine;Engdahl;Sekofski;Thiès;Somalia
